,movieId,rating
0,1,4.0
1,3,4.0
2,6,4.0
3,47,5.0
4,50,5.0
5,70,3.0
6,101,5.0
7,110,4.0
8,151,5.0
9,157,5.0
10,163,5.0
11,216,5.0
12,223,3.0
13,231,5.0
14,235,4.0
15,260,5.0
16,296,3.0
17,316,3.0
18,333,5.0
19,349,4.0
20,356,4.0
21,362,5.0
22,367,4.0
23,423,3.0
24,441,4.0
25,457,5.0
26,480,4.0
27,500,3.0
28,527,5.0
29,543,4.0
30,552,4.0
31,553,5.0
32,590,4.0
33,592,4.0
34,593,4.0
35,596,5.0
36,608,5.0
37,648,3.0
38,661,5.0
39,673,3.0
40,733,4.0
41,736,3.0
42,780,3.0
43,804,4.0
44,919,5.0
45,923,5.0
46,940,5.0
47,943,4.0
48,954,5.0
49,1009,3.0
50,1023,5.0
51,1024,5.0
52,1025,5.0
53,1029,5.0
54,1030,3.0
55,1031,5.0
56,1032,5.0
57,1042,4.0
58,1049,5.0
59,1060,4.0
60,1073,5.0
61,1080,5.0
62,1089,5.0
63,1090,4.0
64,1092,5.0
65,1097,5.0
66,1127,4.0
67,1136,5.0
68,1196,5.0
69,1197,5.0
70,1198,5.0
71,1206,5.0
72,1208,4.0
73,1210,5.0
74,1213,5.0
75,1214,4.0
76,1219,2.0
77,1220,5.0
78,1222,5.0
79,1224,5.0
80,1226,5.0
81,1240,5.0
82,1256,5.0
83,1258,3.0
84,1265,4.0
85,1270,5.0
86,1275,5.0
87,1278,5.0
88,1282,5.0
89,1291,5.0
90,1298,5.0
91,1348,4.0
92,1377,3.0
93,1396,3.0
94,1408,3.0
95,1445,3.0
96,1473,4.0
97,1500,4.0
98,1517,5.0
99,1552,4.0
100,1573,5.0
101,1580,3.0
102,1587,5.0
103,1617,5.0
104,1620,4.0
105,1625,5.0
106,1644,3.0
107,1676,3.0
108,1732,5.0
109,1777,4.0
110,1793,4.0
111,1804,5.0
112,1805,4.0
113,1920,4.0
114,1927,5.0
115,1954,5.0
116,1967,4.0
117,2000,4.0
118,2005,5.0
119,2012,4.0
120,2018,5.0
121,2028,4.0
122,2033,5.0
123,2046,4.0
124,2048,5.0
125,2054,4.0
126,2058,5.0
127,2078,5.0
128,2090,5.0
129,2093,3.0
130,2094,5.0
131,2096,4.0
132,2099,4.0
133,2105,4.0
134,2115,5.0
135,2116,5.0
136,2137,5.0
137,2139,5.0
138,2141,5.0
139,2143,4.0
140,2161,5.0
141,2174,4.0
142,2193,4.0
143,2253,2.0
144,2268,4.0
145,2273,4.0
146,2291,5.0
147,2329,5.0
148,2338,2.0
149,2353,5.0
150,2366,4.0
151,2387,5.0
152,2389,2.0
153,2395,5.0
154,2406,4.0
155,2414,3.0
156,2427,5.0
157,2450,4.0
158,2459,5.0
159,2470,5.0
160,2478,4.0
161,2492,4.0
162,2502,5.0
163,2528,3.0
164,2529,5.0
165,2542,5.0
166,2571,5.0
167,2580,5.0
168,2596,5.0
169,2616,4.0
170,2617,2.0
171,2628,4.0
172,2640,4.0
173,2641,5.0
174,2644,4.0
175,2648,4.0
176,2654,5.0
177,2657,3.0
178,2692,5.0
179,2700,5.0
180,2716,5.0
181,2761,5.0
182,2797,4.0
183,2826,4.0
184,2858,5.0
185,2872,5.0
186,2899,5.0
187,2916,4.0
188,2944,5.0
189,2947,5.0
190,2948,5.0
191,2949,5.0
192,2959,5.0
193,2985,4.0
194,2987,5.0
195,2991,5.0
196,2993,5.0
197,2997,4.0
198,3033,5.0
199,3034,5.0
200,3052,5.0
201,3053,5.0
202,3062,4.0
203,3147,5.0
204,3168,4.0
205,3176,1.0
206,3243,3.0
207,3247,3.0
208,3253,5.0
209,3273,5.0
210,3386,5.0
211,3439,4.0
212,3440,4.0
213,3441,5.0
214,3448,5.0
215,3450,5.0
216,3479,4.0
217,3489,4.0
218,3527,4.0
219,3578,5.0
220,3617,4.0
221,3639,4.0
222,3671,5.0
223,3702,5.0
224,3703,5.0
225,3729,5.0
226,3740,4.0
227,3744,4.0
228,3793,5.0
229,3809,4.0
230,4006,4.0
231,5060,5.0
232,318,3.0
233,333,4.0
234,1704,4.5
235,3578,4.0
236,6874,4.0
237,8798,3.5
238,46970,4.0
239,48516,4.0
240,58559,4.5
241,60756,5.0
242,68157,4.5
243,71535,3.0
244,74458,4.0
245,77455,3.0
246,79132,4.0
247,80489,4.5
248,80906,5.0
249,86345,4.0
250,89774,5.0
251,91529,3.5
252,91658,2.5
253,99114,3.5
254,106782,5.0
255,109487,3.0
256,112552,4.0
257,114060,2.0
258,115713,3.5
259,122882,5.0
260,131724,5.0
261,31,0.5
262,527,0.5
263,647,0.5
264,688,0.5
265,720,0.5
266,849,5.0
267,914,0.5
268,1093,0.5
269,1124,0.5
270,1263,0.5
271,1272,0.5
272,1275,3.5
273,1302,0.5
274,1371,3.0
275,1587,4.5
276,2018,0.5
277,2080,0.5
278,2090,0.5
279,2105,2.0
280,2288,4.0
281,2424,0.5
282,2851,5.0
283,3024,4.5
284,3210,0.5
285,3703,5.0
286,3949,0.5
287,4518,5.0
288,5048,0.5
289,5181,5.0
290,5746,5.0
291,5764,4.5
292,5919,5.0
293,6238,0.5
294,6835,5.0
295,7899,4.5
296,7991,5.0
297,26409,4.5
298,70946,5.0
299,72378,0.5
300,21,3.0
301,32,2.0
302,45,3.0
303,47,2.0
304,52,3.0
305,58,3.0
306,106,4.0
307,125,5.0
308,126,1.0
309,162,5.0
310,171,3.0
311,176,5.0
312,190,2.0
313,215,5.0
314,222,1.0
315,232,5.0
316,235,2.0
317,247,3.0
318,260,5.0
319,265,5.0
320,296,1.0
321,319,5.0
322,342,5.0
323,345,4.0
324,348,4.0
325,351,3.0
326,357,3.0
327,368,4.0
328,417,2.0
329,441,1.0
330,450,2.0
331,457,5.0
332,475,5.0
333,492,5.0
334,509,1.0
335,538,5.0
336,539,1.0
337,553,2.0
338,588,4.0
339,593,5.0
340,595,3.0
341,599,2.0
342,608,5.0
343,648,3.0
344,708,4.0
345,759,3.0
346,800,4.0
347,892,4.0
348,898,5.0
349,899,4.0
350,902,4.0
351,904,4.0
352,908,5.0
353,910,5.0
354,912,5.0
355,914,5.0
356,919,5.0
357,920,5.0
358,930,5.0
359,937,3.0
360,1025,4.0
361,1046,5.0
362,1057,3.0
363,1060,2.0
364,1073,4.0
365,1077,5.0
366,1079,2.0
367,1080,5.0
368,1084,5.0
369,1086,5.0
370,1094,3.0
371,1103,5.0
372,1136,5.0
373,1179,4.0
374,1183,1.0
375,1188,5.0
376,1196,5.0
377,1197,5.0
378,1198,3.0
379,1199,2.0
380,1203,5.0
381,1211,1.0
382,1213,4.0
383,1219,4.0
384,1225,4.0
385,1250,5.0
386,1259,4.0
387,1265,4.0
388,1266,4.0
389,1279,2.0
390,1282,5.0
391,1283,5.0
392,1288,4.0
393,1291,4.0
394,1304,3.0
395,1391,1.0
396,1449,5.0
397,1466,4.0
398,1500,4.0
399,1517,4.0
400,1580,3.0
401,1597,1.0
402,1617,2.0
403,1641,4.0
404,1704,1.0
405,1719,4.0
406,1732,4.0
407,1733,5.0
408,1734,3.0
409,1834,5.0
410,1860,2.0
411,1883,4.0
412,1885,3.0
413,1892,2.0
414,1895,4.0
415,1907,3.0
416,1914,4.0
417,1916,1.0
418,1923,3.0
419,1947,5.0
420,1966,2.0
421,1967,5.0
422,1968,4.0
423,2019,2.0
424,2076,4.0
425,2078,5.0
426,2109,4.0
427,2145,3.0
428,2150,5.0
429,2174,5.0
430,2186,5.0
431,2203,4.0
432,2204,5.0
433,2282,1.0
434,2324,1.0
435,2336,2.0
436,2351,4.0
437,2359,4.0
438,2390,5.0
439,2395,3.0
440,2406,4.0
441,2467,4.0
442,2571,1.0
443,2583,5.0
444,2599,5.0
445,2628,1.0
446,2683,4.0
